name	age	gender	ethnicity	type	party	state	user_screen_name	wikipedia_id	wiki_img_url	wiki_img_labels	wiki_img_labelsconf	wiki_img_labels_macv	wiki_img_labels_awsrek	wiki_img_labelsconf_awsrek	wiki_img_objects
Sherrod Brown	66	Male	white	Senator	Democrat	OH	SenSherrodBrown	Sherrod_Brown	mc_images/Sherrod_Brown.jpg	suit, official, outerwear, businessperson, public_speaking, formal_wear, speaker, white_collar_worker, gentleman, tuxedo, sedan	0.9515523314476013, 0.8559801578521729, 0.7782211303710938, 0.7630466818809509, 0.7275519967079163, 0.6715500354766846, 0.6442749500274658, 0.6178011894226074, 0.6152649521827698, 0.6098377108573914, 0.5173826217651367	person, outdoor, man, suit, necktie, clothing, standing, wearing, holding, dressed, sitting, bench, park, red, woman, talking, young, hat, white, street, phone, people, field	person, human, executive, blazer, apparel, clothing, coat, jacket, head, tie, accessories, accessory, face, suit, overcoat, man, sitting, attorney, people, crowd	96.96721649169922, 96.96721649169922, 90.5872573852539, 88.0202407836914, 88.0202407836914, 88.0202407836914, 88.0202407836914, 88.0202407836914, 80.64765930175781, 74.23845672607422, 74.23845672607422, 74.23845672607422, 68.94178009033203, 62.34873580932617, 62.34873580932617, 60.66657257080078, 60.12892532348633, 59.60020446777344, 58.87866973876953, 55.58711242675781	Person, Man, Tie
Maria Cantwell	60	Female	white	Senator	Democrat	WA	SenatorCantwell	Maria_Cantwell	mc_images/Maria_Cantwell.jpg	spokesperson, businessperson, television_presenter, official, newsreader, speaker, business, student	0.7806792855262756, 0.7058427333831787, 0.6470688581466675, 0.6340075731277466, 0.6130791306495667, 0.6108913421630859, 0.5545522570610046, 0.5347219109535217	person, sitting, woman, table, red, laptop, front, lady, man, computer, using, smiling, holding, food, posing, young, wearing, people, phone	human, person, face, flag, symbol, smile, clothing, jacket, apparel, blazer, coat, jewelry, accessories, accessory, necklace, american_flag, worker	97.0479507446289, 97.0479507446289, 94.69595336914062, 89.76580810546875, 89.76580810546875, 79.95092010498047, 75.03459167480469, 75.03459167480469, 75.03459167480469, 75.03459167480469, 75.03459167480469, 71.94441986083984, 71.94441986083984, 71.94441986083984, 71.94441986083984, 67.10392761230469, 58.01171875	Person, Woman
Benjamin Cardin	75	Male	white	Senator	Democrat	MD	SenatorCardin	Ben_Cardin	mc_images/Ben_Cardin.jpg	official, businessperson, spokesperson, speaker, speech, public_speaking	0.8825560808181763, 0.74242103099823, 0.7296205163002014, 0.6658872365951538, 0.6567409634590149, 0.630746603012085	person, suit, man, clothing, indoor, older, holding, business, wearing, standing, red, dressed, smiling, posing, woman, people, room, hat, white, group, sign, blue	symbol, flag, american_flag, human, person, accessories, tie, accessory, face, necktie	99.99054718017578, 99.99054718017578, 98.53652954101562, 96.3712387084961, 96.3712387084961, 79.29387664794922, 79.29387664794922, 79.29387664794922, 69.53526306152344, 55.60047149658203	Tie, Man, Flag
Thomas Carper	71	Male	white	Senator	Democrat	DE	SenatorCarper	Tom_Carper	mc_images/Tom_Carper.jpg	person, suit, official, businessperson, gentleman, spokesperson, formal_wear, white_collar_worker, elder, speaker, tuxedo	0.9428848624229431, 0.9049628376960754, 0.8879299163818359, 0.7922114729881287, 0.7416219711303711, 0.6666597723960876, 0.5859200954437256, 0.5626927018165588, 0.5621259212493896, 0.5425041913986206, 0.5268588662147522	person, suit, man, clothing, indoor, business, standing, posing, wearing, holding, smiling, dressed, table, glasses, people, woman, red, white	human, person, accessories, accessory, tie, indoors, room, flag, symbol, face, american_flag, necktie, furniture, table, attorney, court	98.0084228515625, 98.0084228515625, 92.20954132080078, 92.20954132080078, 92.20954132080078, 91.78185272216797, 89.96311950683594, 84.78915405273438, 84.78915405273438, 78.14088439941406, 71.44593811035156, 71.44007873535156, 71.3741683959961, 63.91679382324219, 57.93081283569336, 55.46919631958008	Person, Tie
Robert Casey	58	Male	white	Senator	Democrat	PA	SenBobCasey	Bob_Casey_Jr.	mc_images/Bob_Casey_Jr..jpg	suit, formal_wear, official, tuxedo, businessperson, necktie, gentleman, outerwear, elder, white_collar_worker, business	0.9693124294281006, 0.9077824950218201, 0.8668613433837891, 0.8069791197776794, 0.8017630577087402, 0.800868809223175, 0.7857077717781067, 0.7173711657524109, 0.7015632390975952, 0.688805341720581, 0.5650717616081238	person, suit, man, outdoor, necktie, clothing, building, standing, wearing, holding, older, front, posing, business, old, photo, dressed, smiling, woman, street, white, red, blue, wedding, sign, phone, city	executive, human, person, face, apparel, overcoat, coat, suit, clothing, attorney, jacket, blazer, accessories, tie, accessory, man, head, smile	99.66266632080078, 99.66266632080078, 99.66266632080078, 95.15013122558594, 93.59246826171875, 93.59246826171875, 93.59246826171875, 93.59246826171875, 93.59246826171875, 92.61203002929688, 84.39435577392578, 84.39435577392578, 76.12495422363281, 76.12495422363281, 76.12495422363281, 73.18441009521484, 65.53319549560547, 59.85404968261719	Tie, Man, Person
Bob Corker	66	Male	white	Senator	Republican	TN	SenBobCorker	Bob_Corker	mc_images/Bob_Corker.jpg	official, suit, businessperson, gentleman, chin, public_speaking, business, elder, spokesperson, formal_wear, white_collar_worker, tuxedo, speaker	0.8539577722549438, 0.8513398170471191, 0.7993389368057251, 0.7908341288566589, 0.776719868183136, 0.7557821273803711, 0.6512938737869263, 0.6354755759239197, 0.6166676878929138, 0.6157051920890808, 0.5886709094047546, 0.5787478089332581, 0.5262667536735535	person, man, suit, clothing, standing, holding, front, black, walking, wearing, sign, woman, talking, old, phone, people, street	executive, person, human, clothing, apparel, face, coat, suit, overcoat, head, man, tie, accessory, accessories, blazer, jacket, attorney, photo, photography, portrait	98.48162841796875, 98.48162841796875, 98.48162841796875, 96.05684661865234, 96.05684661865234, 91.58106994628906, 88.43624114990234, 88.43624114990234, 88.43624114990234, 87.63056182861328, 76.58009338378906, 73.05823516845703, 73.05823516845703, 73.05823516845703, 71.79666900634766, 71.79666900634766, 69.80784606933594, 64.99848937988281, 64.99848937988281, 64.99848937988281	Person, Man, Tie
Dianne Feinstein	85	Female	white	Senator	Democrat	CA	SenFeinstein	Dianne_Feinstein	mc_images/Dianne_Feinstein.jpg	person, chin, hairstyle, official, smile, elder, portrait, businessperson, spokesperson	0.9442330598831177, 0.8160442113876343, 0.7967849969863892, 0.7944763898849487, 0.724780797958374, 0.6292692422866821, 0.6282172203063965, 0.5676714777946472, 0.5305773019790649	person, indoor, laptop, table, man, front, woman, computer, holding, shirt, sitting, standing, large, young, white, suit	human, person, judge, face, room, indoors, apparel, clothing, court, photography, photo, portrait	96.91798400878906, 96.91798400878906, 83.47714233398438, 80.1646499633789, 64.38665771484375, 64.38665771484375, 62.960330963134766, 62.960330963134766, 62.7149772644043, 59.212547302246094, 59.212547302246094, 59.212547302246094	Woman
Orrin Hatch	84	Male	white	Senator	Republican	UT	SenOrrinHatch	Orrin_Hatch	mc_images/Orrin_Hatch.jpg	person, official, chin, businessperson, spokesperson, elder, gentleman, senior_citizen	0.9409809708595276, 0.8884156346321106, 0.769704282283783, 0.756435751914978, 0.7264536619186401, 0.6062767505645752, 0.580083966255188, 0.564467191696167	person, indoor, man, suit, clothing, necktie, red, looking, wearing, older, table, front, sitting, room, holding, standing, white, woman, people	human, face, person, flag, symbol, accessory, accessories, tie, american_flag, necktie, photo, photography, portrait, attorney	99.20999145507812, 99.20999145507812, 99.20999145507812, 96.54753112792969, 96.54753112792969, 88.21698760986328, 88.21698760986328, 88.21698760986328, 79.63472747802734, 65.188720703125, 63.93226623535156, 63.93226623535156, 63.93226623535156, 58.64868927001953	Person, Tie, Man
Amy Klobuchar	58	Female	white	Senator	Democrat	MN	NA	Amy_Klobuchar	mc_images/Amy_Klobuchar.jpg	outerwear, business, businessperson, suit, blazer, job, white_collar_worker, formal_wear	0.769070029258728, 0.7639911770820618, 0.7223896980285645, 0.7181652784347534, 0.5938130021095276, 0.5525855422019958, 0.5168052315711975, 0.5111525058746338	person, woman, indoor, man, standing, table, holding, suitcase, front, suit, posing, luggage, young, cake, sitting, black, smiling, large, red, people	person, human, jacket, clothing, coat, blazer, apparel, pottery, jar, overcoat, suit, vase, executive	97.3216552734375, 97.3216552734375, 89.33561706542969, 89.33561706542969, 89.33561706542969, 89.33561706542969, 89.33561706542969, 86.9861068725586, 85.95000457763672, 74.59159088134766, 74.59159088134766, 70.15731048583984, 60.49161148071289	Person, Woman
Claire McCaskill	65	Female	white	Senator	Democrat	MO	McCaskillOffice	Claire_McCaskill	mc_images/Claire_McCaskill.jpg	hair, human_hair_color, beauty, chin, hairstyle, blond, smile, cheek, shoulder, businessperson, outerwear, layered_hair, long_hair, television_presenter, neck, hair_coloring, brown_hair, portrait, formal_wear	0.9687231183052063, 0.9078974723815918, 0.8810581564903259, 0.8760077953338623, 0.8753600120544434, 0.8737954497337341, 0.8443330526351929, 0.778515100479126, 0.7710343599319458, 0.7451693415641785, 0.6955055594444275, 0.6734254360198975, 0.6662968993186951, 0.660089910030365, 0.6134111285209656, 0.5830639004707336, 0.5630254149436951, 0.5380715727806091, 0.5096042156219482	person, clothing, red, sitting, woman, laptop, wearing, holding, smiling, table, suit, computer, shirt, black, desk, man, young, white, phone	human, person, face, clothing, apparel, female, coat, woman, blazer, jacket, accessory, accessories, hair, portrait, photo, photography, jewelry, home_decor, pendant	96.87628936767578, 96.87628936767578, 96.87628936767578, 91.2258529663086, 91.2258529663086, 90.11434173583984, 80.88317108154297, 78.28631591796875, 75.21341705322266, 75.21341705322266, 71.91922760009766, 71.91922760009766, 69.02169799804688, 62.94118881225586, 62.94118881225586, 62.94118881225586, 59.63151931762695, 57.4457893371582, 56.35635757446289	Woman
Robert Menéndez	64	Male	hispanic	Senator	Democrat	NJ	SenatorMenendez	Bob_Menendez	mc_images/Bob_Menendez.jpg	official, businessperson, chin, elder, spokesperson, speaker, business, necktie, senior_citizen	0.8904845714569092, 0.7987539172172546, 0.786812961101532, 0.7772430181503296, 0.6810561418533325, 0.6553027629852295, 0.6276159882545471, 0.5980005860328674, 0.560552716255188	person, man, suit, necktie, striped, wearing, older, flag, standing, smiling, red, holding, posing, old, white, room	person, human, attorney, symbol, flag, face, tie, accessories, accessory, american_flag, head, executive	99.8115005493164, 99.8115005493164, 99.8115005493164, 93.45529174804688, 93.45529174804688, 89.5499038696289, 79.26011657714844, 79.26011657714844, 79.26011657714844, 78.59960174560547, 69.79930114746094, 57.89023971557617	Tie, Glasses, Man, Flag
