wiki_img_url	wiki_img_labels	wiki_img_labelsconf
Steven_Palazzo.jpg	Forehead, Chin, Smile, Dress shirt, Gesture, Collar, Tie, Flag, Suit, Spokesperson	0.9846563935279846, 0.9668117165565491, 0.9268425703048706, 0.8918883204460144, 0.852604866027832, 0.840972363948822, 0.8331696391105652, 0.8175452351570129, 0.8052420616149902, 0.800167441368103
Steve_Russell_(politician).jpg	Smile, Dress shirt, Sleeve, Flag, Tie, Gesture, Collar, Suit, Blazer, Flag of the united states	0.929490327835083, 0.9025235772132874, 0.8720378875732422, 0.8703118562698364, 0.8623471260070801, 0.852604866027832, 0.8412845134735107, 0.7829914093017578, 0.782742440700531, 0.772533118724823
Maggie_Hassan.jpg	Smile, Sleeve, Coat, Television presenter, Pantsuit, Flag, Blazer, Official, Electric blue, Bangs	0.9773957133293152, 0.8719485402107239, 0.8566607236862183, 0.8135284185409546, 0.7998095750808716, 0.7879431843757629, 0.7826608419418335, 0.7545944452285767, 0.7526897192001343, 0.7351219654083252
James_Comer_(politician).jpg	Hair, Smile, Tie, Dress shirt, Sleeve, Gesture, Collar, Flag, Suit, Flag of the united states	0.9831246137619019, 0.9651552438735962, 0.9077612161636353, 0.8854138255119324, 0.8617927432060242, 0.852604866027832, 0.841210126876831, 0.8134357333183289, 0.80940181016922, 0.8078984022140503
Eliot_Engel.jpg	Forehead, Smile, Chin, Flag, Gesture, Collar, Suit, Flag of the united states, Happy, Red	0.9846563935279846, 0.9834575653076172, 0.9662227630615234, 0.8546023964881897, 0.852604866027832, 0.8256786465644836, 0.8214849233627319, 0.8048919439315796, 0.8044795989990234, 0.8003777861595154
Ralph_Abraham_(politician).jpg	Forehead, Smile, Chin, Dress shirt, Collar, Tie, Flag of the united states, Blazer, Suit, Flag	0.9846563935279846, 0.9826741218566895, 0.96579509973526, 0.8846057653427124, 0.8388381004333496, 0.8326114416122437, 0.8026511669158936, 0.7823557257652283, 0.7740217447280884, 0.7710880637168884
Donald_Payne_Jr..jpg	Hair, Smile, Tie, Dress shirt, Flag, Coat, Gesture, Collar, Spokesperson, Flag of the united states	0.9829879403114319, 0.9700140953063965, 0.8973647952079773, 0.8918408751487732, 0.8751639723777771, 0.8662132024765015, 0.852604866027832, 0.8405662178993225, 0.8253409266471863, 0.8226145505905151
Bob_Brady.jpg	Forehead, Smile, Chin, Dress shirt, Tie, Gesture, Flag, Collar, Suit, Flag of the united states	0.9846563935279846, 0.9777116179466248, 0.967780590057373, 0.8818897604942322, 0.8630543947219849, 0.852604866027832, 0.8522537350654602, 0.8382586240768433, 0.8192055821418762, 0.7959027290344238
Mark_Takano.jpg	Smile, Tie, Dress shirt, Gesture, Collar, Flag, Flag of the united states, Blazer, Spokesperson, Suit	0.938349187374115, 0.9099637866020203, 0.8824940323829651, 0.852604866027832, 0.8411195874214172, 0.7875794768333435, 0.7859111428260803, 0.7827395796775818, 0.7826300263404846, 0.7763286232948303
Dave_Reichert.jpg	Smile, Daytime, Shirt, Sky, Dress shirt, Sleeve, Happy, Collar, Tie, People	0.971648097038269, 0.9451533555984497, 0.9411997199058533, 0.9388813972473145, 0.9073558449745178, 0.8724504113197327, 0.8667730689048767, 0.84079509973526, 0.8264572024345398, 0.7911331057548523
